Tag,Name,Role,Townhall Level,Trophy Count,Best Trophy Count,War Stars,Troops Donated,Troops Received,Clan Game Points,Clan Capital Points
#PQ8GV8U,super d,coLeader,14,4516,4880,596,492,335,0,38535
#80P8UPUG,thekojiman,leader,12,3483,3525,202,10006,726,0,49342
#8JVVLYQ2U,DawsoD,coLeader,12,3354,3377,834,4744,8053,0,48811
#YCQVCURQJ,Sam,admin,14,3122,5158,1343,0,0,0,100
#8CYCYPGLG,ダスデ,coLeader,13,2681,2725,684,12945,2330,0,43309
#JU9QRQLJ,Theron927,admin,12,2640,3299,496,216,410,0,1900
#2982YPYV,~ iPlayLOL ~,coLeader,11,2630,2880,233,2263,838,0,27171
#2P8CVY0JG,socks,member,12,2437,2497,28,2,661,0,12300
#QYR0R8YVP,博马涅,admin,10,2366,2372,122,364,2551,0,28240
#GCPPUCGQ,YouWithTheFace,member,12,2323,2340,10,200,34,0,13518
#P0LPJPR2,DawsoD’s Uncle,admin,10,2272,2472,193,64,3689,0,24629
#2PL09JP8R,bmbbeats,member,10,2262,2331,94,37,228,0,19820
#QYGQ090PR,Murk Fest,admin,12,2247,2247,30,115,813,0,17286
#9LYGLQVJV,rc2,member,10,2103,2105,103,0,132,0,2450
#2CCQGCRL,jj,member,10,2072,2263,64,0,198,0,4523
#9V0V98VUG,Luís,member,10,1991,2035,69,16,570,0,4000
#QGLPVRGU2,StruggleHuggle,coLeader,10,1988,2016,174,142,1409,0,44129
#2QYGQ9CQL,Uncle Grandpa,admin,10,1929,1998,155,43,283,0,33570
#L8GR8VUY,irina,admin,10,1928,1967,190,286,1337,0,38385
#QGC2YRPC2,PUNISHER,member,9,1892,1917,45,5,429,0,26700
#LGVLRGGQJ,Hokage,member,11,1859,1859,35,0,0,0,34402
#228C8CP0,vionadebbs,member,10,1785,2319,307,0,0,0,100
#28CPYJ902,Akita,admin,10,1773,1800,116,90,1118,0,37630
#9URGG2CY,Joe Kelly,member,10,1771,2155,147,0,0,0,8350
#Q02CQ90CC,Emilio,admin,9,1755,1944,0,35,26,0,8350
#YUQ298QJG,JacksonFoxDog17,admin,10,1686,1696,34,338,175,0,27496
#P29LJ8L,amanda,member,9,1636,1799,85,12,187,0,7875
#Q0QJJCL0,strahovski,admin,10,1628,2023,307,42,278,0,20041
#LUCUVV9CC,7AFEZ,member,9,1621,1634,48,30,26,0,350
#2PRPCLLUY,bob the third,admin,10,1584,1806,209,20,264,0,19116
#8PRP9L28Q,Eknight_Br,admin,10,1498,1911,473,33,0,0,11998
#LYR9RG0J8,dampmcmuffin,admin,9,1497,1869,38,86,279,0,30416
#QJPV0YP9U,gabe,admin,9,1454,1551,25,59,62,0,28560
#9UPVVQR92,$laapy*,member,10,1418,1418,22,58,62,0,29975
#P99PQRL22,chickenpotpie,coLeader,9,1410,1434,54,0,232,0,38633
#Q8RJV82YL,Whiskeywolf187,member,10,1281,1355,55,0,45,0,21346
#QG82JUGJ0,FancyFrank$,admin,8,1209,1309,4,83,120,0,28843
#LY89CVUYL,abibliophobix,member,8,1205,1316,11,28,30,0,31598
#QR8C0ULGV,先輩 senpai d,member,9,1110,1303,13,109,559,0,30482
#QJGQJPC88,Big T,member,8,1069,1036,10,37,960,0,18313
#QJJCQ9RJ9,Chickenpotpie14,member,7,1018,1088,19,0,60,0,27614
#PJQ0PQ8VR,joao,member,9,906,1000,0,0,0,0,7279
