Tag,Name,Role,Townhall Level,Trophy Count,Best Trophy Count,War Stars,Troops Donated,Troops Received,Clan Game Points
#PQ8GV8U,super d,coLeader,14,4614,4880,577,182,0,0
#80P8UPUG,thekojiman,leader,12,3389,3516,184,8535,1341,0
#8JVVLYQ2U,DawsoD,coLeader,12,3084,3236,813,3588,3672,0
#JU9QRQLJ,Theron927,admin,12,2713,3299,482,496,611,0
#QLVGU2U8V,elle juliet,member,10,2653,2705,138,55,66,0
#2982YPYV,~ iPlayLOL ~,coLeader,11,2602,2850,204,1449,1004,0
#2P8CVY0JG,socks,member,12,2484,2497,28,0,0,0
#LUCLGJ9L8,色拉油二,admin,11,2474,2889,419,276,1206,0
#8CYCYPGLG,ダスデ,coLeader,13,2289,2604,653,5097,2756,0
#QYR0R8YVP,博马涅,admin,10,2075,2086,101,266,1303,0
#P0LPJPR2,DawsoD’s Uncle,admin,10,2045,2085,148,60,1239,0
#LCUQL8Q9C,mrcrysky 53,member,9,2032,2052,20,20,180,0
#QYGQ090PR,Murk Fest,member,12,1998,1978,30,255,774,0
#Q8QUU888P,King Harlon,admin,11,1992,5019,366,177,595,0
#98QCYG9G2,BLAZE AND ICE,member,10,1964,2084,245,32,197,0
#8CUQYJLLG,kevin11,member,11,1916,2633,20,0,0,0
#QQ9QLPVCJ,deltzy,member,10,1905,1974,63,0,392,0
#8PRP9L28Q,Eknight_Br,admin,10,1873,1911,473,0,0,0
#QPJJ2YRRC,Pedro parca,member,10,1850,1947,81,1,204,0
#GCPPUCGQ,YouWithTheFace,member,11,1836,2179,4,41,52,0
#LLQ00GLP8,rayray,member,10,1814,1947,66,33,0,0
#L8GR8VUY,irina,admin,9,1797,1805,149,127,652,0
#2QYGQ9CQL,Uncle Grandpa,admin,9,1778,1998,134,30,496,0
#Q0QJJCL0,strahovski,member,9,1767,2023,289,0,373,0
#9URGG2CY,Joe Kelly,admin,10,1755,2155,136,0,0,0
#QGLPVRGU2,StruggleHuggle,coLeader,9,1746,1830,134,317,709,0
#Q02CQ90CC,Emilio,member,8,1690,1717,0,0,280,0
#PQVPQCRU8,Clan Distroyer,admin,10,1666,1853,126,26,31,0
#P29LJ8L,amanda,member,8,1651,1799,82,0,0,0
#QG2LL0GYJ,yLK,member,10,1606,1663,12,0,298,0
#YUQ298QJG,JacksonFoxDog17,admin,10,1577,1583,28,148,155,0
#90CP09R0Y,coutinho,member,10,1551,1823,106,0,164,0
#2PRPCLLUY,bob the third,member,10,1540,1806,198,187,396,0
#QYU2CJR80,MANZZ 2,member,9,1533,1561,29,0,105,0
#28CPYJ902,AKgamer243,admin,9,1514,1514,79,203,617,0
#LYR9RG0J8,gae man,member,9,1499,1596,29,85,0,0
#V8G8P2PU,jolene wood,admin,11,1465,1558,375,92,62,0
#9GV9J9PRY,REI BÁRBARO,member,9,1384,2635,131,0,0,0
#QGGP2LLU0,Renanlandia,member,11,1348,1502,0,0,75,0
#P99PQRL22,chickenpotpie,admin,8,1344,1352,29,30,235,0
#YVVJ0R922,engeldy,admin,9,1328,1653,185,0,0,0
#9VLQC292,PrehistoricHero,member,9,1300,1740,95,0,0,0
#QYP0Y909R,Denmark,admin,12,1294,1455,22,162,31,0
#QJPV0YP9U,gabe,admin,9,1245,1444,20,55,78,0
#QYGQJLPGL,OP BLAKE,member,10,1168,1168,0,0,83,0
#Q8RJV82YL,Whiskeywolf187,member,10,1122,1355,45,0,45,0
#LV0CQUG0Y,wannn13,member,7,1055,1144,8,0,40,0
#PJQ0PQ8VR,joao,member,8,955,987,0,0,30,0
#QG82JUGJ0,FancyFrank$,admin,6,891,905,0,256,245,0
#QJGQJPC88,Big T,member,6,759,759,0,112,346,0
