Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#80P8UPUG,thekojiman,1,3,100,3,100,6,200
#9URGG2CY,Joe Kelly,21,0,0,0,0,0,0
#V8G8P2PU,jolene wood,12,3,100,3,100,6,200
#URUYJ9GV,andrei,9,0,0,0,0,0,0
#QYP9R9G29,CãTë,33,1,67,3,100,4,167
#2982YPYV,~ iPlayLOL ~,7,3,100,2,68,5,168
#8CYCYPGLG,ダスデ,2,3,100,3,100,6,200
#28CPYJ902,AKgamer243,32,3,100,3,100,6,200
#8JVVLYQ2U,DawsoD,3,2,53,3,100,5,153
#892Y228CY,kekelkakal,37,0,0,0,0,0,0
#QGG0JG0UG,aca,14,1,60,0,0,1,60
#QGLPVRGU2,StruggleHuggle,24,3,100,3,100,6,200
#LGCLRPC9U,GOD2207,38,0,0,0,0,0,0
#Q8QUU888P,King Harlon,6,2,97,3,100,5,197
#Q02CQ90CC,Emilio,36,0,0,0,0,0,0
#QQJYGGYU2,azathoth,30,0,0,0,0,0,0
#QGPPRYVRY,zekinha,31,0,29,0,0,0,29
#QGGP2LLU0,Renanlandia,13,0,0,0,0,0,0
#L8GR8VUY,irina,19,0,0,0,0,0,0
#2LCPJURVJ,Demetrix_Dead,8,0,0,0,0,0,0
#PQVPQCRU8,Clan Distroyer,17,2,67,1,74,3,141
#QQR08UPJC,Stillman,39,0,0,0,0,0,0
#Q0PG9RQ8J,naruto,15,0,0,0,0,0,0
#QYP0Y909R,Denmark,4,0,0,0,0,0,0
#2QYGQ9CQL,Uncle Grandpa,22,0,0,0,0,0,0
#UCQV00GV,ser vinicius,18,0,0,0,0,0,0
#UQURYCLL,Kadafi,5,0,0,0,0,0,0
#YUQ298QJG,JacksonFoxDog17,25,2,85,0,0,2,85
#8UVCQGCV2,IsraelF,35,0,0,0,0,0,0
#QR0LGCYPY,davi,34,0,0,0,0,0,0
#LG28VC99V,junin,16,0,0,0,0,0,0
#QJPV0YP9U,gabe,26,1,68,3,100,4,168
#QYR0R8YVP,博马涅,23,0,4,0,0,0,4
#P99PQRL22,chickenpotpie,40,3,100,0,26,3,126
#QG2LL0GYJ,yLK,28,0,0,0,0,0,0
#90CP09R0Y,coutinho,11,0,0,0,0,0,0
#QLLQLCUP2,cebolhinha,27,0,0,0,0,0,0
#YVVJ0R922,engeldy,20,3,100,3,100,6,200
#QLY9J22LP,Pestilence23,29,3,100,3,100,6,200
#2UC20QVVP,=(EK/DUK)=,10,0,0,0,0,0,0
