Tag,Name,Map Position,Attack 1 Stars,Attack 1 Percent,Attack 2 Stars,Attack 2 Percent,Total Stars,Total Percent
#2CCQGCRL,jj,3,0,0,0,0,0,0
#9URGG2CY,Joe Kelly,12,2,66,3,100,5,166
#GCPPUCGQ,YouWithTheFace,2,0,33,3,100,3,133
#28CPYJ902,Akita,11,3,100,3,100,6,200
#QGLPVRGU2,StruggleHuggle,6,3,100,3,100,6,200
#QGC2YRPC2,PUNISHER,19,1,74,3,100,4,174
#2PL09JP8R,bmbbeats,5,2,61,2,67,4,128
#2P8CVY0JG,socks,1,1,64,2,63,3,127
#L8GR8VUY,irina,4,2,87,2,96,4,183
#9V0V98VUG,Luís,10,0,0,0,0,0,0
#LY89CVUYL,abibliophobix,24,1,67,1,74,2,141
#QJGQJPC88,Big T,23,0,0,0,0,0,0
#QJJCQ9RJ9,Chickenpotpie14,25,1,70,0,0,1,70
#2QYGQ9CQL,Uncle Grandpa,9,1,87,3,100,4,187
#YUQ298QJG,JacksonFoxDog17,13,0,0,0,0,0,0
#LYR9RG0J8,dampmcmuffin,16,1,44,0,45,1,89
#QJPV0YP9U,gabe,17,0,0,0,0,0,0
#P0LPJPR2,DawsoD’s Uncle,7,0,0,0,0,0,0
#9UPVVQR92,$laapy*,15,1,79,3,100,4,179
#QG82JUGJ0,FancyFrank$,22,1,58,0,0,1,58
#QYR0R8YVP,博马涅,8,3,100,1,74,4,174
#P99PQRL22,chickenpotpie,20,3,100,0,0,3,100
#Q8RJV82YL,Whiskeywolf187,14,0,0,0,0,0,0
#QR8C0ULGV,先輩 senpai d,21,3,100,3,100,6,200
#LUCUVV9CC,7AFEZ,18,2,75,0,0,2,75
